"user_id","count","total_price"
1060139,5,53543
1060143,1,12568
1060145,1,2646
1060146,3,31817
1060148,3,14202
1060149,3,12436
1060150,1,2646
1060151,1,2646
1060152,4,39679
1060157,4,40059
1060158,1,2646
1060159,1,5292
1060160,1,4536
1060161,26,461052
1060163,1,10055
1060164,13,138010
1060166,3,20639
1060171,1,2646
1060172,1,7938
1060175,6,79357
1060176,3,21433
1060178,1,11491
1060180,4,32715
1060181,2,11378
1060183,1,4725
1060185,1,1323
1060187,17,154411
1060188,1,1323
1060190,20,228254
1060192,2,21110
1060195,1,1323
1060196,2,15381
1060198,1,7371
1060199,1,1323
1060200,1,1323
1060201,1,1323
1060202,1,1323
1060203,1,1323
1060205,1,4725
1060206,5,25042
1060207,1,9515
1060208,2,9261
1060209,1,3969
1060210,1,4725
1060211,8,61047
1060212,2,11378
1060214,8,42736
1060217,1,7371
1060219,1,1323
1060220,2,11340
1060221,2,7371
1060222,1,1323
1060223,1,1323
1060224,1,4725
1060225,1,1323
1060226,1,1323
1060227,2,9261
1060228,1,1323
1060229,1,1323
1060232,1,1323
1060233,1,1323
1060234,1,1323
1060235,1,4725
1060236,1,1323
1060237,6,52391
1060238,1,1323
1060239,1,12568
1060240,1,1323
1060241,4,33113
1060242,1,1323
1060243,1,1323
1060244,1,1323
1060245,1,7938
1060247,1,1323
1060248,1,1323
1060249,2,11378
1060250,1,1323
1060251,3,20601
1060252,2,12663
1060253,1,1323
1060254,1,1323
1060255,1,1323
1060257,3,17935
1060261,1,1323
1060262,1,11311
1060263,1,6615
1060264,1,1323
1060265,2,13419
1060266,1,1323
1060269,4,27405
1060270,1,4725
1060271,1,1323
1060272,1,1323
1060273,9,72083
1060274,1,1323
1060276,2,6766
1060277,1,9261
1060278,1,10233
1060279,1,8127
1060280,1,1323
1060281,2,19570
1060282,1,4725
1060283,1,9049
1060284,1,9261
1060285,3,12622
1060286,24,227387
1060287,1,1323
1060289,1,1323
1060291,1,1323
1060292,1,1323
1060293,1,1323
1060294,1,1323
1060295,1,1323
1060296,1,9515
1060298,1,1323
1060299,1,4725
1060300,5,43466
1060301,1,9515
1060302,1,4725
1060303,1,1323
1060304,4,7938
1060305,1,1323
1060306,3,18122
1060307,1,1323
1060308,1,1323
1060309,1,12029
1060311,2,13419
1060312,1,1323
1060313,1,1323
1060314,2,32209
1060315,5,48004
1060316,1,6048
1060322,2,3969
1060323,1,1323
1060324,2,3969
1060325,2,17822
1060327,1,1323
1060328,1,1323
1060329,1,1323
1060331,2,8505
1060332,1,1323
1060333,1,1323
1060335,1,4725
1060336,1,9515
1060337,2,9261
1060338,3,9261
1060339,2,7371
1060340,1,1323
1060341,1,1323
1060342,41,471830
1060343,1,9261
1060345,1,11311
1060346,1,1323
1060347,1,1323
1060349,1,1323
1060350,1,1323
1060352,1,7749
1060353,2,11378
1060354,1,1323
1060355,5,29673
1060357,1,1323
1060358,2,9261
1060361,1,1323
1060362,15,128585
1060363,1,1323
1060365,3,14553
1060366,20,180508
1060372,1,1323
1060374,1,4725
1060376,1,1323
1060377,1,4725
1060380,1,9261
1060381,1,1323
1060382,1,1323
1060384,2,9488
1060385,1,1323
1060386,1,1323
1060388,1,1323
1060389,1,1323
1060390,1,1323
1060391,1,4725
1060393,1,1323
1060394,1,1323
1060395,14,96631
1060398,1,1323
1060399,2,17410
1060401,4,19966
1060402,1,1323
1060403,5,38419
1060404,1,1323
1060405,1,1323
1060407,1,1323
1060408,1,1323
1060409,2,6086
1060411,1,1323
1060413,1,1323
1060415,1,1323
1060416,1,3213
1060418,1,1323
1060419,2,9261
1060420,1,1323
1060421,1,1323
1060422,3,26609
1060423,1,7938
1060424,1,1323
1060425,1,1323
1060426,1,1323
1060427,2,4725
1060428,10,96255
1060429,2,11378
1060430,1,1323
1060431,1,1323
1060432,3,21357
1060434,1,1323
1060435,1,4725
1060436,1,1323
1060437,5,37309
1060438,1,4725
1060439,1,9515
1060440,1,1323
1060442,1,1323
1060443,1,1323
1060444,1,1323
1060445,1,1323
1060446,1,1323
1060447,2,12663
1060449,2,14364
1060451,1,1323
1060452,11,106902
1060453,5,45657
1060454,1,1323
1060455,2,11529
1060457,1,1323
1060458,1,3969
1060461,1,1323
1060462,1,1323
1060463,5,41542
1060464,1,6615
1060466,1,1323
1060467,2,11378
1060470,1,1323
1060471,1,1323
1060472,2,10584
1060473,7,56700
1060474,1,4725
1060475,2,9261
1060476,1,1323
1060477,1,1323
1060479,1,4725
1060480,1,1323
1060481,1,1323
1060483,1,4725
1060484,1,2646
1060485,1,1323
1060486,6,59108
1060490,1,9261
1060491,1,1323
1060492,1,7371
1060493,1,1323
1060495,1,1323
1060496,1,1323
1060497,1,1323
1060498,1,1323
1060499,1,9261
1060500,1,1323
1060502,6,52198
1060503,7,106967
1060505,1,1323
1060506,1,1323
1060507,1,1323
1060508,1,1323
1060509,2,14175
1060513,1,1323
1060514,2,13635
1060515,2,9261
1060516,1,1323
1060518,1,1323
1060520,1,1323
1060521,1,1323
1060522,1,1323
1060523,8,62035
1060524,3,23501
1060525,7,48006
1060526,1,1323
1060528,1,1323
1060529,2,6615
1060530,1,1323
1060531,3,7938
1060533,1,1323
1060535,1,1323
1060536,1,1323
1060539,4,25686
1060540,1,1323
1060541,1,4725
1060542,24,150374
1060543,2,9261
1060544,1,1323
1060545,4,27167
1060547,2,14780
1060548,1,1323
1060549,7,73159
1060551,2,4725
1060552,5,46849
1060553,1,1323
1060554,2,7673
1060555,1,1323
1060556,1,1323
1060557,2,11378
1060559,6,56623
1060560,3,41792
1060561,1,1323
1060565,1,1323
1060566,1,1323
1060567,2,10372
1060568,1,1323
1060569,1,1323
1060570,1,1323
1060571,1,1323
1060572,1,1323
1060574,1,1323
1060575,1,4725
1060577,1,1323
1060581,1,1323
1060583,1,1323
1060584,1,1323
1060585,3,11907
1060586,1,6615
1060587,1,1323
1060588,1,1323
1060590,1,1323
1060591,1,1323
1060592,1,1323
1060593,1,1323
1060595,2,12301
1060596,1,9261
1060597,2,9790
1060598,1,1323
1060600,2,9261
1060601,5,16065
1060605,2,3969
1060607,2,11378
1060608,1,9261
1060609,1,1323
1060610,1,1323
1060612,2,9261
1060614,1,1323
1060615,1,1323
1060617,2,3969
1060618,1,1323
1060619,1,1323
1060620,1,1323
1060621,2,9261
1060622,7,56057
1060623,1,1323
1060626,1,1323
1060627,1,1323
1060629,1,1323
1060630,1,1323
1060631,1,1323
1060632,3,13419
1060634,1,6048
1060635,1,1323
1060636,1,3969
1060637,1,9261
1060638,8,60064
1060639,2,9261
1060640,1,1323
1060641,1,1323
1060643,1,1323
1060644,3,17123
1060645,1,1323
1060648,2,12663
1060649,1,1323
1060650,1,1323
1060651,1,4725
1060652,1,1323
1060654,1,1323
1060655,1,1323
1060658,1,1323
1060659,1,1323
1060660,1,1323
1060661,1,4725
1060662,1,1323
1060663,10,55075
1060664,1,1323
1060665,1,4725
1060666,1,1323
1060667,1,1323
1060668,1,1323
1060670,1,6615
1060672,1,1323
1060673,1,1323
1060674,3,17426
1060675,1,1323
1060676,1,1323
1060677,2,19856
1060678,1,1323
1060679,1,1323
1060681,1,1323
1060682,3,24475
1060683,2,3969
1060684,2,17955
1060685,1,3969
1060686,1,4725
1060687,1,1323
1060688,1,4725
1060689,1,1323
1060691,2,19316
1060692,3,6086
1060694,1,1323
1060695,1,1323
1060696,4,11907
1060697,1,1323
1060698,3,19089
1060700,1,1323
1060702,2,9261
1060703,1,4725
1060704,1,1323
1060705,1,1323
1060706,13,120739
1060707,1,1323
1060709,1,1323
1060711,1,1323
1060712,2,11907
1060713,1,1323
1060714,1,1323
1060715,2,12701
1060716,1,1323
1060717,1,1323
1060718,1,1323
1060719,7,66704
1060720,1,1323
1060721,1,1323
1060722,1,1323
1060723,1,4725
1060724,1,1323
1060726,3,23058
1060727,1,1323
1060728,1,1323
1060729,1,9261
1060730,1,1323
1060731,1,4725
1060732,7,53714
1060733,1,1323
1060734,1,1323
1060735,1,1323
1060736,1,4725
1060737,1,1323
1060738,1,4725
1060739,1,1323
1060740,1,9515
1060741,1,1323
1060742,1,13286
1060743,1,1323
1060744,1,1323
1060745,2,14062
1060746,1,1323
1060748,1,9261
1060749,1,1323
1060750,1,1323
1060751,1,1323
1060752,1,1323
1060753,2,6615
1060754,1,1323
1060757,1,1323
1060759,2,10017
1060760,1,1323
1060761,1,1323
1060764,1,1323
1060765,1,1323
1060766,1,1323
1060767,1,1323
1060768,1,1323
1060769,2,6615
1060770,1,1323
1060771,3,7047
1060772,1,1323
1060773,1,1323
1060774,1,1323
1060775,1,1323
1060776,1,1323
1060777,1,1323
1060778,1,4725
1060779,1,1323
1060780,5,63160
1060781,1,1323
1060782,1,1323
1060783,5,35192
1060784,2,6615
1060785,1,1323
1060786,2,3969
1060787,1,1323
1060788,1,1323
1060789,6,36250
1060790,1,1323
1060791,1,1323
1060792,2,10300
1060793,1,1323
1060794,1,1323
1060795,1,1323
1060797,1,1323
1060798,1,1323
1060799,1,1323
1060800,3,21433
1060801,1,4725
1060802,1,3969
1060803,1,1323
1060804,1,1323
1060805,2,18560
1060807,1,3969
1060808,1,8694
1060809,1,1323
1060810,3,21433
1060812,2,14024
1060813,3,15611
1060814,1,1323
1060815,1,1323
1060816,9,82474
1060817,1,1323
1060818,1,4725
1060819,1,1323
1060820,2,4725
1060821,1,1323
1060823,2,12096
1060824,4,32798
1060825,3,11529
1060826,1,1323
1060828,1,1323
1060829,1,1323
1060830,1,1323
1060831,1,1323
1060832,1,9261
1060833,1,9515
1060834,1,1323
1060838,14,100426
1060839,2,15739
1060840,1,1323
1060841,1,1323
1060842,1,1323
1060843,1,9261
1060844,1,1323
1060845,1,3969
1060846,11,193759
1060847,1,1323
1060848,1,1323
1060849,2,7673
1060850,1,1323
1060851,1,4725
1060852,1,1323
1060853,1,1323
1060854,1,1323
1060855,1,1323
1060856,1,9515
1060857,1,1323
1060858,2,15498
1060859,1,1323
1060860,1,7371
1060861,1,1323
1060862,1,4725
1060863,1,1323
1060864,1,11311
1060867,1,1323
1060868,1,1323
1060869,13,111208
1060870,2,7371
1060871,1,1323
1060872,3,22718
1060873,1,1323
1060874,1,1323
1060875,1,3969
1060876,1,1323
1060877,76,1276384
1060878,1,1323
1060879,1,1323
1060880,1,2646
1060881,2,3969
1060882,3,23247
1060883,1,5292
1060885,1,1323
1060886,1,1323
1060888,1,1323
1060889,1,3969
1060890,1,1323
1060891,1,1323
1060893,1,1323
1060894,3,21073
1060895,1,1323
1060896,1,1323
1060897,1,3969
1060898,1,5292
1060899,1,1323
1060900,1,1323
1060901,1,1323
1060904,2,13891
1060905,1,1323
1060907,1,1323
1060909,1,4725
1060910,1,1323
1060911,2,9261
1060912,1,1323
1060913,2,12663
1060914,1,1323
1060915,4,28811
1060916,4,28841
1060917,2,9261
1060918,2,2646
1060919,1,1323
1060920,1,1323
1060921,1,1323
1060922,1,3969
1060923,1,1323
1060924,1,1323
